Row,OurBid,ExchangeBid,FairValue,ExchangeAsk,OurAsk,Position,Comment,Owner
No Publisher Yet,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,No Publisher Yet,No Publisher Yet
XYLE GR,19.74921157,19.7915,19.8126,19.83,19.87601221,0,darren,DARREN
XZE5 LN,38.26902125,38.405,38.39185214,38.455,38.5723284,0,darren,DARREN
XZE5 SW,46.7200275,46.885,46.86998333,46.96,47.09031443,0,,DARREN
UC98 LN,1372.742006,1369,1377.839046,1380,1382.938015,0,,DARREN
CBSUS IM,16.11955383,16.094,16.17940631,16.206,16.23928143,0,darren,DARREN
UE25 NA,16.11955383,16.085,16.17940631,16.215,16.23928143,0,darren,DARREN
CBSUS SW,18.23272687,18.198,18.30042564,18.342,18.36815002,0,,DARREN
CBSUST SW,14.91498166,14.902,15.02312715,15.036,15.07121017,0,,DARREN
CBSUSE IM,17.16189976,17.184,17.28633719,17.272,17.34166384,0,,DARREN
CBSUSE SW,17.16189976,17.166,17.28633719,17.3,17.34166384,0,darren,DARREN
CBSUSH SW,11.19988482,11.19,11.2810929,11.292,11.32284084,0,darren,DARREN
UC81 LN,1102.519761,1100.5,1105.504069,1107,1108.489483,0,,DARREN
UC86 LN,14.6436414,14.63,14.68327891,14.7,14.72293111,0,darren,DARREN
CBUS5 IM,12.93346447,12.93,12.98148689,13.01,13.02952748,0,,DARREN
UEF7 NA,12.90750669,12.915,12.98148689,13,13.08795585,0,darren,DARREN
UEF7 GY,12.93995392,12.9365,12.98148689,12.997,13.02303543,0,,DARREN
UEF8 NA,14.95046665,14.893,15.01351138,15.005,15.07658014,0,,DARREN
UEF8 GY,14.95046665,14.9175,15.01351138,14.9875,15.07658014,0,,DARREN
CBUS5 SW,14.62162089,14.612,14.68327891,14.72,14.74496043,0,,DARREN
CBUS5E SW,14.95046665,14.89,15.01351138,15.01,15.07658014,0,,DARREN
CBUS5E IM,14.95046665,14.928,15.01351138,14.978,15.07658014,0,darren,DARREN
CBUS5S SW,13.99183102,13.946,14.05083328,14.052,14.10985802,0,darren,DARREN
CBUS5H SW,13.77728257,13.722,13.83538009,13.838,13.89349976,0,darren,DARREN
UC76 LN,18.15148743,18.105,18.20062,18.22,18.24977078,0,darren,DARREN
UC84 LN,1366.625488,1362.5,1370.32468,1371,1374.025242,0,,DARREN
CBUS IM,16.04773003,16.01,16.09116814,16.112,16.13462234,0,,DARREN
CBUS SW,18.15148743,18.096,18.20062,18.23,18.24977078,0,darren,DARREN
UEF9 NA,16.04773003,15.985,16.09116814,16.123,16.13462234,0,,DARREN
CBUSE IM,19.85931687,19.884,19.96310505,19.952,20.06693316,0,darren,DARREN
